:nemesis	:info	:start-partition	:minority-third
1	:invoke	:read	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	0
1	:invoke	:read	nil
2	:ok	:read	0
2	:invoke	:add	1
0	:ok	:read	0
2	:ok	:add	1
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	1
1	:invoke	:read	nil
0	:ok	:read	1
0	:invoke	:read	nil
2	:ok	:read	2
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:read	nil
1	:ok	:read	2
1	:invoke	:add	3
1	:ok	:add	3
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:read	nil
0	:ok	:read	1
0	:invoke	:read	nil
2	:ok	:read	9
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:read	nil
1	:ok	:read	12
1	:invoke	:read	nil
0	:ok	:read	1
0	:invoke	:read	nil
2	:ok	:read	12
2	:invoke	:read	nil
1	:ok	:read	12
1	:invoke	:add	4
1	:ok	:add	4
0	:ok	:read	5
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:read	16
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:read	nil
0	:ok	:read	16
0	:invoke	:read	nil
1	:ok	:read	16
1	:invoke	:add	4
1	:ok	:add	4
2	:ok	:read	18
2	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	18
0	:invoke	:read	nil
2	:ok	:read	22
2	:invoke	:add	0
2	:ok	:add	0
1	:ok	:read	22
2	:invoke	:add	0
2	:ok	:add	0
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	22
0	:invoke	:read	nil
1	:ok	:read	22
1	:invoke	:read	nil
2	:ok	:read	22
2	:invoke	:read	nil
0	:ok	:read	22
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
1	:ok	:read	25
1	:invoke	:read	nil
2	:ok	:read	22
2	:invoke	:read	nil
0	:ok	:read	25
0	:invoke	:read	nil
1	:ok	:read	25
1	:invoke	:read	nil
2	:ok	:read	25
2	:invoke	:add	0
2	:ok	:add	0
0	:ok	:read	25
0	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	25
1	:invoke	:read	nil
0	:ok	:read	25
0	:invoke	:read	nil
2	:ok	:read	25
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:add	0
1	:ok	:read	27
2	:ok	:add	0
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	27
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
1	:ok	:read	27
1	:invoke	:read	nil
2	:ok	:read	27
2	:invoke	:read	nil
0	:ok	:read	29
0	:invoke	:read	nil
1	:ok	:read	29
1	:invoke	:read	nil
2	:ok	:read	29
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:add	1
2	:ok	:add	1
0	:ok	:read	32
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	3
0	:ok	:add	3
1	:ok	:read	33
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	34
1	:invoke	:read	nil
2	:ok	:read	33
2	:invoke	:read	nil
0	:ok	:read	37
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
1	:ok	:read	38
1	:invoke	:read	nil
2	:ok	:read	33
2	:invoke	:read	nil
0	:ok	:read	42
0	:invoke	:read	nil
1	:ok	:read	42
1	:invoke	:read	nil
2	:ok	:read	34
2	:invoke	:read	nil
0	:ok	:read	42
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
1	:ok	:read	46
1	:invoke	:add	2
1	:ok	:add	2
1	:invoke	:add	1
2	:ok	:read	42
1	:ok	:add	1
2	:invoke	:read	nil
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
0	:ok	:read	49
0	:invoke	:read	nil
2	:ok	:read	48
2	:invoke	:read	nil
1	:ok	:read	49
1	:invoke	:read	nil
0	:ok	:read	49
0	:invoke	:read	nil
2	:ok	:read	49
2	:invoke	:read	nil
1	:ok	:read	49
1	:invoke	:read	nil
0	:ok	:read	49
0	:invoke	:read	nil
2	:ok	:read	49
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
1	:ok	:read	49
1	:invoke	:read	nil
0	:ok	:read	51
0	:invoke	:read	nil
2	:ok	:read	55
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
1	:ok	:read	59
1	:invoke	:read	nil
0	:ok	:read	55
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
2	:ok	:read	61
2	:invoke	:read	nil
1	:ok	:read	59
1	:invoke	:read	nil
0	:ok	:read	61
0	:invoke	:read	nil
2	:ok	:read	61
2	:invoke	:read	nil
1	:ok	:read	59
1	:invoke	:add	3
1	:ok	:add	3
1	:invoke	:add	3
0	:ok	:read	61
1	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	0
1	:ok	:add	0
2	:ok	:read	64
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:add	2
1	:ok	:add	2
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	70
0	:invoke	:read	nil
1	:ok	:read	74
1	:invoke	:read	nil
2	:ok	:read	74
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:read	nil
0	:ok	:read	72
0	:invoke	:read	nil
1	:ok	:read	74
1	:invoke	:read	nil
2	:ok	:read	76
2	:invoke	:read	nil
0	:ok	:read	74
0	:invoke	:read	nil
1	:ok	:read	76
1	:invoke	:add	1
1	:ok	:add	1
1	:invoke	:read	nil
2	:ok	:read	76
2	:invoke	:read	nil
0	:ok	:read	76
0	:invoke	:read	nil
1	:ok	:read	77
1	:invoke	:add	2
1	:ok	:add	2
1	:invoke	:read	nil
2	:ok	:read	76
2	:invoke	:add	1
0	:ok	:read	76
2	:ok	:add	1
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	80
1	:invoke	:read	nil
2	:ok	:read	80
2	:invoke	:read	nil
0	:ok	:read	80
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
1	:ok	:read	80
1	:invoke	:add	2
1	:ok	:add	2
1	:invoke	:add	4
1	:ok	:add	4
2	:ok	:read	80
2	:invoke	:add	3
2	:ok	:add	3
1	:invoke	:read	nil
0	:ok	:read	85
0	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	89
1	:invoke	:read	nil
0	:ok	:read	85
0	:invoke	:read	nil
2	:ok	:read	92
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:read	nil
1	:ok	:read	94
1	:invoke	:read	nil
0	:ok	:read	94
0	:invoke	:read	nil
2	:ok	:read	94
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
1	:ok	:read	98
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
0	:ok	:read	98
0	:invoke	:read	nil
2	:ok	:read	98
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:read	nil
1	:ok	:read	98
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:add	0
1	:ok	:add	0
0	:ok	:read	102
1	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	98
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:add	0
2	:ok	:add	0
1	:ok	:read	102
1	:invoke	:add	4
1	:ok	:add	4
0	:ok	:read	102
2	:invoke	:read	nil
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	104
2	:invoke	:read	nil
1	:ok	:read	109
1	:invoke	:add	3
1	:ok	:add	3
1	:invoke	:read	nil
0	:ok	:read	112
0	:invoke	:read	nil
2	:ok	:read	108
2	:invoke	:read	nil
1	:ok	:read	112
1	:invoke	:read	nil
0	:ok	:read	112
0	:invoke	:read	nil
2	:ok	:read	109
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
1	:ok	:read	112
1	:invoke	:read	nil
0	:ok	:read	116
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:read	nil
1	:ok	:read	112
1	:invoke	:read	nil
0	:ok	:read	116
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:read	nil
1	:ok	:read	112
1	:invoke	:read	nil
0	:ok	:read	116
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:read	nil
1	:ok	:read	116
1	:invoke	:read	nil
0	:ok	:read	116
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:read	nil
1	:ok	:read	118
1	:invoke	:read	nil
0	:ok	:read	118
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:read	nil
1	:ok	:read	118
1	:invoke	:read	nil
0	:ok	:read	118
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:read	nil
1	:ok	:read	118
1	:invoke	:read	nil
0	:ok	:read	118
0	:invoke	:read	nil
2	:ok	:read	116
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
1	:ok	:read	122
1	:invoke	:read	nil
0	:ok	:read	118
0	:invoke	:read	nil
2	:ok	:read	122
2	:invoke	:read	nil
1	:ok	:read	122
1	:invoke	:add	3
1	:ok	:add	3
1	:invoke	:read	nil
0	:ok	:read	122
0	:invoke	:read	nil
2	:ok	:read	122
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:read	nil
1	:ok	:read	125
1	:invoke	:add	2
1	:ok	:add	2
0	:ok	:read	125
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:read	127
2	:invoke	:read	nil
0	:ok	:read	127
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
1	:ok	:read	129
1	:invoke	:read	nil
2	:ok	:read	127
2	:invoke	:read	nil
0	:ok	:read	131
0	:invoke	:read	nil
1	:ok	:read	131
1	:invoke	:read	nil
2	:ok	:read	131
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:read	nil
0	:ok	:read	134
0	:invoke	:read	nil
1	:ok	:read	134
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:read	nil
2	:ok	:read	134
2	:invoke	:add	1
2	:ok	:add	1
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:read	nil
0	:ok	:read	138
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
1	:ok	:read	141
1	:invoke	:read	nil
2	:ok	:read	141
2	:invoke	:read	nil
0	:ok	:read	147
0	:invoke	:read	nil
1	:ok	:read	146
1	:invoke	:read	nil
2	:ok	:read	141
2	:invoke	:read	nil
0	:ok	:read	147
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
1	:ok	:read	146
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:read	nil
2	:ok	:read	146
2	:invoke	:read	nil
0	:ok	:read	152
0	:invoke	:read	nil
1	:ok	:read	152
1	:invoke	:add	4
1	:ok	:add	4
2	:ok	:read	152
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	152
0	:invoke	:read	nil
1	:ok	:read	156
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:add	0
2	:ok	:read	152
1	:ok	:add	0
1	:invoke	:read	nil
0	:ok	:read	152
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	4
2	:invoke	:read	nil
0	:ok	:add	4
0	:invoke	:read	nil
1	:ok	:read	158
1	:invoke	:read	nil
2	:ok	:read	162
2	:invoke	:read	nil
0	:ok	:read	162
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
1	:ok	:read	163
1	:invoke	:read	nil
2	:ok	:read	163
2	:invoke	:read	nil
0	:ok	:read	163
0	:invoke	:read	nil
1	:ok	:read	163
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
2	:ok	:read	163
2	:invoke	:read	nil
0	:ok	:read	163
0	:invoke	:read	nil
1	:ok	:read	163
1	:invoke	:read	nil
2	:ok	:read	163
2	:invoke	:read	nil
0	:ok	:read	163
0	:invoke	:read	nil
1	:ok	:read	163
1	:invoke	:read	nil
2	:ok	:read	163
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:read	nil
0	:ok	:read	163
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
1	:ok	:read	173
1	:invoke	:read	nil
2	:ok	:read	169
2	:invoke	:read	nil
0	:ok	:read	177
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
1	:ok	:read	173
1	:invoke	:read	nil
2	:ok	:read	173
2	:invoke	:read	nil
0	:ok	:read	179
0	:invoke	:read	nil
1	:ok	:read	173
1	:invoke	:read	nil
2	:ok	:read	179
2	:invoke	:read	nil
0	:ok	:read	179
0	:invoke	:read	nil
1	:ok	:read	173
1	:invoke	:add	2
1	:ok	:add	2
2	:ok	:read	179
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	181
0	:invoke	:read	nil
1	:ok	:read	181
1	:invoke	:read	nil
2	:ok	:read	179
2	:invoke	:read	nil
0	:ok	:read	181
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
1	:ok	:read	181
1	:invoke	:add	1
2	:ok	:read	181
1	:ok	:add	1
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	187
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	1
0	:ok	:add	1
1	:ok	:read	191
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:read	191
2	:invoke	:read	nil
0	:ok	:read	192
0	:invoke	:add	2
0	:ok	:add	2
1	:ok	:read	194
0	:invoke	:add	0
2	:ok	:read	194
0	:ok	:add	0
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
2	:invoke	:read	nil
0	:ok	:read	197
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
1	:ok	:read	197
1	:invoke	:read	nil
2	:ok	:read	197
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:add	3
2	:ok	:add	3
0	:ok	:read	201
2	:invoke	:read	nil
1	:ok	:read	198
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:read	204
2	:invoke	:read	nil
0	:ok	:read	204
0	:invoke	:read	nil
1	:ok	:read	198
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
2	:ok	:read	204
2	:invoke	:add	2
2	:ok	:add	2
0	:ok	:read	208
0	:invoke	:read	nil
1	:ok	:read	210
1	:invoke	:read	nil
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
0	:ok	:read	208
0	:invoke	:add	3
0	:ok	:add	3
1	:ok	:read	210
0	:invoke	:read	nil
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:add	3
1	:ok	:add	3
1	:invoke	:add	4
1	:ok	:add	4
2	:ok	:read	228
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	228
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
1	:ok	:read	228
2	:ok	:read	228
1	:invoke	:read	nil
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:read	nil
0	:ok	:read	230
0	:invoke	:read	nil
1	:ok	:read	230
1	:invoke	:read	nil
2	:ok	:read	230
2	:invoke	:read	nil
0	:ok	:read	230
0	:invoke	:read	nil
1	:ok	:read	230
1	:invoke	:read	nil
2	:ok	:read	230
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:read	nil
0	:ok	:read	230
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
1	:ok	:read	237
1	:invoke	:read	nil
2	:ok	:read	237
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:read	nil
0	:ok	:read	240
0	:invoke	:read	nil
1	:ok	:read	237
1	:invoke	:read	nil
2	:ok	:read	240
2	:invoke	:read	nil
0	:ok	:read	240
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
1	:ok	:read	241
1	:invoke	:read	nil
2	:ok	:read	240
2	:invoke	:read	nil
0	:ok	:read	241
0	:invoke	:read	nil
1	:ok	:read	241
1	:invoke	:read	nil
2	:ok	:read	241
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:add	0
2	:ok	:add	0
0	:ok	:read	241
2	:invoke	:read	nil
0	:invoke	:add	1
0	:ok	:add	1
1	:ok	:read	241
0	:invoke	:read	nil
1	:invoke	:add	2
1	:ok	:add	2
1	:invoke	:read	nil
2	:ok	:read	241
2	:invoke	:add	0
2	:ok	:add	0
2	:invoke	:read	nil
0	:ok	:read	244
0	:invoke	:read	nil
1	:ok	:read	244
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
2	:ok	:read	244
2	:invoke	:read	nil
0	:ok	:read	244
0	:invoke	:read	nil
1	:ok	:read	244
1	:invoke	:read	nil
2	:ok	:read	244
2	:invoke	:read	nil
0	:ok	:read	244
0	:invoke	:read	nil
1	:ok	:read	244
1	:invoke	:read	nil
2	:ok	:read	244
2	:invoke	:add	4
2	:ok	:add	4
2	:invoke	:read	nil
0	:ok	:read	248
0	:invoke	:read	nil
1	:ok	:read	248
1	:invoke	:read	nil
2	:ok	:read	248
2	:invoke	:add	3
2	:ok	:add	3
2	:invoke	:read	nil
0	:ok	:read	248
0	:invoke	:read	nil
1	:ok	:read	248
1	:invoke	:read	nil
2	:ok	:read	251
2	:invoke	:add	3
2	:ok	:add	3
0	:ok	:read	251
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	2
0	:ok	:add	2
1	:ok	:read	251
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	251
1	:invoke	:read	nil
2	:ok	:read	255
2	:invoke	:read	nil
0	:ok	:read	257
0	:invoke	:read	nil
1	:ok	:read	255
1	:invoke	:read	nil
2	:ok	:read	257
2	:invoke	:read	nil
0	:ok	:read	257
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
1	:ok	:read	260
1	:invoke	:read	nil
2	:ok	:read	261
2	:invoke	:add	2
2	:ok	:add	2
2	:invoke	:read	nil
0	:ok	:read	261
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
1	:ok	:read	260
1	:invoke	:add	1
1	:ok	:add	1
1	:invoke	:add	4
1	:ok	:add	4
2	:ok	:read	268
1	:invoke	:read	nil
2	:invoke	:add	1
2	:ok	:add	1
2	:invoke	:add	0
2	:ok	:add	0
0	:ok	:read	273
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	277
1	:invoke	:read	nil
0	:ok	:read	273
0	:invoke	:read	nil
2	:ok	:read	277
2	:invoke	:read	nil
1	:ok	:read	277
1	:invoke	:read	nil
0	:ok	:read	277
0	:invoke	:read	nil
2	:ok	:read	277
2	:invoke	:read	nil
1	:ok	:read	277
1	:invoke	:add	3
1	:ok	:add	3
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:add	3
1	:ok	:add	3
0	:ok	:read	277
0	:invoke	:add	3
0	:ok	:add	3
2	:ok	:read	277
0	:invoke	:read	nil
1	:invoke	:add	4
1	:ok	:add	4
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	294
0	:invoke	:read	nil
1	:ok	:read	294
1	:invoke	:read	nil
2	:ok	:read	290
2	:invoke	:read	nil
